M,lambda,RMSE train,RMSE test
4,0.01,0.10391554995537258,0.10143812308552169
5,0.1,0.1036287437301455,0.10181541234124927
6,0.0,0.07869879601305826,0.07736822897498277
7,0.0,0.0786318631566609,0.07800069918372216
8,0.1,0.07805608592714117,0.07775858838241441
9,0.0,0.0778515094988656,0.07886471586506251
10,0.1,0.07784543325709943,0.0780637485705015
11,0.1,0.07774141854729229,0.0786034054557908
12,0.1,0.07772333879691887,0.07813209217924387
13,0.1,0.07763147155967098,0.07845100520920766
14,0.0,0.07736955684930547,0.07895602085192176
15,1.0,0.07922926247216747,0.08261819360172486
16,1.0,0.07924253099051104,0.08328865646576819
17,0.1,0.07713473192590047,0.07918375008876172
18,0.1,0.07712964105601361,0.07938562337072338
